Transaction_ID,Date,Time,Customer_ID,Product_ID,Amount,Payment_Type,Country,Merchant_ID,Status
TX10000,2023-07-29,14:13:23,C2110,P66,312.09,PayPal,USA,M3,Pending
TX10001,2024-01-10,20:47:29,C8028,P53,57.23,PayPal,Australia,M13,Pending
TX10002,2023-07-17,21:06:18,C3841,P91,109.85,Credit Card,Canada,M34,Chargeback
TX10003,2024-04-28,02:24:08,C8116,P24,280.57,Credit Card,UK,M24,Completed
TX10004,2023-12-23,01:45:04,C9399,P52,148.74,,USA,M21,Refunded
TX10005,2023-10-26,15:27:33,C2238,P93,492.67,Debit Card,USA,M35,Completed
TX10006,2023-12-20,09:33:58,C1994,P12,431.0,Credit Card,USA,M33,Completed
TX10007,2023-12-22,08:38:52,C9611,P44,303.4,Credit Card,Canada,M20,Chargeback
TX10008,2023-07-04,07:58:21,C9260,P53,321.77,Debit Card,UK,M47,Pending
TX10009,2023-09-16,04:40:35,C9804,P37,,Debit Card,Canada,M47,Refunded
TX10010,2023-12-25,15:39:06,C4089,P31,611.42,Debit Card,USA,M39,Chargeback
TX10011,2023-11-17,05:42:39,C3920,P27,67.73,Credit Card,Australia,M2,Refunded
TX10012,2023-09-02,12:11:00,C3069,P25,56.02,Credit Card,,M18,Refunded
TX10013,2023-09-09,15:17:56,C1533,P4,,PayPal,USA,M34,Completed
TX10014,2023-12-28,09:31:28,C8382,P45,495.99,,,M31,Chargeback
TX10015,2023-06-11,05:17:41,C2807,P23,346.04,Debit Card,USA,M47,Completed
TX10016,2023-06-02,22:19:29,C3407,P4,280.63,Credit Card,USA,M37,Pending
TX10017,2023-10-25,16:37:33,C7983,P23,,Debit Card,UK,M31,Pending
TX10018,2023-11-02,16:17:39,C5262,P99,74.49,PayPal,,M36,Pending
TX10019,2024-01-28,01:24:17,C5144,P20,1452.46,Debit Card,USA,M31,Chargeback
TX10020,2023-11-06,16:17:32,C9708,P58,147.83,PayPal,UK,M22,Pending
TX10021,2023-10-25,13:01:08,C3631,P71,498.05,Credit Card,USA,M5,Completed
TX10022,2023-06-28,23:38:45,C6203,P93,235.77,Debit Card,USA,M13,Completed
TX10023,2024-04-24,13:52:18,C3752,P61,477.39,Debit Card,USA,M2,Cancelled
TX10024,2024-01-01,18:16:11,C9815,P58,51.2,Debit Card,UK,M24,Refunded
TX10025,2023-05-28,18:56:42,C6210,P78,113.76,PayPal,Canada,M10,Pending
TX10026,2024-02-23,03:39:43,C2476,P47,154.4,Credit Card,USA,M3,Refunded
TX10027,2023-11-18,02:47:00,C7561,P100,152.65,,UK,M27,Pending
TX10028,2023-05-25,23:56:37,C7377,P90,61.39,PayPal,UK,M49,Pending
TX10029,2023-08-12,05:06:27,C3174,P22,341.15,PayPal,USA,M22,Pending
TX10030,2023-07-22,08:57:11,C3847,P35,419.64,Credit Card,UK,M47,Chargeback
TX10031,2024-02-25,20:41:34,C7021,P22,754.63,Debit Card,USA,M9,Chargeback
TX10032,2024-03-20,12:17:45,C1765,P33,428.8,,USA,M50,Completed
TX10033,2023-06-01,08:35:19,C7167,P60,19.69,Debit Card,Australia,M42,Refunded
TX10034,2023-10-31,05:59:32,C3876,P64,492.61,,Australia,M4,Chargeback
TX10035,2023-07-06,01:58:58,C4187,P90,,PayPal,Canada,M43,Pending
TX10036,2023-08-05,20:20:02,C9477,P77,489.51,PayPal,USA,M28,Pending
TX10037,2024-01-11,18:00:12,C2203,P47,437.12,PayPal,USA,M2,Completed
TX10038,2023-09-28,12:07:42,C3205,P94,181.87,Credit Card,UK,M38,Cancelled
TX10039,2024-01-06,07:52:26,C2428,P21,106.0,Credit Card,UK,M42,Refunded
TX10040,2023-07-10,17:37:21,C4508,P94,436.2,Credit Card,USA,M41,Pending
TX10041,2024-01-27,12:56:06,C7710,P8,50.61,Debit Card,UK,M3,Pending
TX10042,2023-07-05,19:12:42,C7066,P10,1077.05,Debit Card,USA,M4,Chargeback
TX10043,2023-05-16,14:24:06,C5070,P9,766.49,,Australia,M7,Chargeback
TX10044,2024-04-02,17:02:25,C4841,P61,293.04,Credit Card,USA,M15,Cancelled
TX10045,2023-09-23,05:37:48,C4567,P53,249.18,Debit Card,UK,M27,Pending
TX10046,2024-03-12,08:19:02,C4495,P65,,Debit Card,USA,M1,Refunded
TX10047,2023-08-28,01:12:33,C1488,P62,144.85,Credit Card,UK,M26,Chargeback
TX10048,2023-10-05,22:20:48,C7763,P75,157.82,,UK,M19,Completed
