,transaction_id,date,time,customer_id,product_id,amount,payment_type,country,merchant_id,status,exchange_rate,total_usd,date_time,year,month,day,dow,hour,is_weekend
0,TX10000,2023-07-29,14:13:23,C2110,P66,312.09,PayPal,USA,M3,Pending,1.0,312.09,2023-07-29 14:13:23,2023,7,29,5,14,1
1,TX10001,2024-01-10,20:47:29,C8028,P53,57.23,PayPal,Australia,M13,Pending,0.65,37.1995,2024-01-10 20:47:29,2024,1,10,2,20,0
2,TX10002,2023-07-17,21:06:18,C3841,P91,109.85,Credit Card,Canada,M34,Chargeback,0.73,80.1905,2023-07-17 21:06:18,2023,7,17,0,21,0
3,TX10003,2024-04-28,02:24:08,C8116,P24,280.57,Credit Card,UK,M24,Completed,1.25,350.7125,2024-04-28 02:24:08,2024,4,28,6,2,1
4,TX10004,2023-12-23,01:45:04,C9399,P52,148.74,,USA,M21,Refunded,1.0,148.74,2023-12-23 01:45:04,2023,12,23,5,1,1
5,TX10005,2023-10-26,15:27:33,C2238,P93,492.67,Debit Card,USA,M35,Completed,1.0,492.67,2023-10-26 15:27:33,2023,10,26,3,15,0
6,TX10006,2023-12-20,09:33:58,C1994,P12,431.0,Credit Card,USA,M33,Completed,1.0,431.0,2023-12-20 09:33:58,2023,12,20,2,9,0
7,TX10007,2023-12-22,08:38:52,C9611,P44,303.4,Credit Card,Canada,M20,Chargeback,0.73,221.48199999999997,2023-12-22 08:38:52,2023,12,22,4,8,0
8,TX10008,2023-07-04,07:58:21,C9260,P53,321.77,Debit Card,UK,M47,Pending,1.25,402.2125,2023-07-04 07:58:21,2023,7,4,1,7,0
9,TX10009,2023-09-16,04:40:35,C9804,P37,,Debit Card,Canada,M47,Refunded,0.73,,2023-09-16 04:40:35,2023,9,16,5,4,1
10,TX10010,2023-12-25,15:39:06,C4089,P31,611.42,Debit Card,USA,M39,Chargeback,1.0,611.42,2023-12-25 15:39:06,2023,12,25,0,15,0
11,TX10011,2023-11-17,05:42:39,C3920,P27,67.73,Credit Card,Australia,M2,Refunded,0.65,44.0245,2023-11-17 05:42:39,2023,11,17,4,5,0
12,TX10012,2023-09-02,12:11:00,C3069,P25,56.02,Credit Card,,M18,Refunded,1.0,56.02,2023-09-02 12:11:00,2023,9,2,5,12,1
13,TX10013,2023-09-09,15:17:56,C1533,P4,,PayPal,USA,M34,Completed,1.0,,2023-09-09 15:17:56,2023,9,9,5,15,1
14,TX10014,2023-12-28,09:31:28,C8382,P45,495.99,,,M31,Chargeback,1.0,495.99,2023-12-28 09:31:28,2023,12,28,3,9,0
15,TX10015,2023-06-11,05:17:41,C2807,P23,346.04,Debit Card,USA,M47,Completed,1.0,346.04,2023-06-11 05:17:41,2023,6,11,6,5,1
16,TX10016,2023-06-02,22:19:29,C3407,P4,280.63,Credit Card,USA,M37,Pending,1.0,280.63,2023-06-02 22:19:29,2023,6,2,4,22,0
17,TX10017,2023-10-25,16:37:33,C7983,P23,,Debit Card,UK,M31,Pending,1.25,,2023-10-25 16:37:33,2023,10,25,2,16,0
18,TX10018,2023-11-02,16:17:39,C5262,P99,74.49,PayPal,,M36,Pending,1.0,74.49,2023-11-02 16:17:39,2023,11,2,3,16,0
